periodo_de,periodo_ate,cod_interaguas,tipo_rede,ugrhi,codigo_ponto,status_ponto,data_coleta,hora_coleta,parametro,sinal,valor,valor_numerico,valor_texto,unidade,tipo_parametro,sistema_hidrico,tipo_de_sistema_hidrico,classe,municipio,uf,inicio_operacao,fim_operacao,latitude,longitude,altitude,localizacao,captacao,latitude_decimal,longitude_decimal
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2014-07-15,15H 20M 0S,Potássio,NA,"12,00000000",12,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2014-11-11,9H 15M 0S,Potássio,NA,"12,00000000",12,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2015-01-13,9H 50M 0S,Potássio,NA,"8,00000000",8,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2015-05-12,10H 0M 0S,Potássio,NA,"6,00000000",6,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2015-07-15,12H 40M 0S,Potássio,NA,"8,00000000",8,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2015-11-11,11H 25M 0S,Potássio,NA,"7,00000000",7,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2016-01-19,11H 55M 0S,Potássio,NA,"4,00000000",4,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2016-05-11,11H 0M 0S,Potássio,NA,"5,00000000",5,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2016-07-13,11H 45M 0S,Potássio,NA,"5,00000000",5,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2016-11-23,11H 15M 0S,Potássio,NA,"6,00000000",6,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2017-01-10,11H 10M 0S,Potássio,NA,"5,00000000",5,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2017-05-10,11H 40M 0S,Potássio,NA,"5,00000000",5,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2017-07-12,11H 20M 0S,Potássio,NA,"5,00000000",5,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2017-11-07,11H 20M 0S,Potássio,NA,"6,00000000",6,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2018-01-03,11H 24M 0S,Potássio,NA,"5,00000000",5,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2011-01-24,9H 35M 0S,Crômio Total,NA,"0,04000000",0.04,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2011-05-18,8H 50M 0S,Crômio Total,<,"0,02000000",0.02,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2011-07-19,9H 0M 0S,Crômio Total,<,"0,00100000",0.001,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2011-11-16,12H 0M 0S,Crômio Total,NA,"0,03000000",0.03,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2012-01-09,12H 40M 0S,Crômio Total,NA,"0,03000000",0.03,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2012-05-30,12H 10M 0S,Crômio Total,<,"0,05000000",0.05,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2012-07-17,8H 50M 0S,Crômio Total,<,"0,05000000",0.05,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
2002-01-01,2025-09-03,49,Rede Básica,05 - PIRACICABA/CAPIVARI/JUNDIAI,PCAB02300,Ativo,2012-11-21,9H 25M 0S,Crômio Total,<,"0,05000000",0.05,NA,mg/L,03- Químicos (metais e semi-metais),Rio Piracicaba - PCAB,Rio (Lótico),Classe 2,PIRACICABA,SP,2002-01-01,NA,22 41 44,47 40 19,492,Na ponte do Caixão.,N,-22.695555555555554,-47.67194444444444
